state_name,state_abbreviation,state_FIPS,county_name,county_FIPS
Georgia,GA,13000,Gwinnett County,13135
Georgia,GA,13000,Habersham County,13137
Georgia,GA,13000,Hall County,13139
Georgia,GA,13000,Hancock County,13141
Georgia,GA,13000,Haralson County,13143
Georgia,GA,13000,Harris County,13145
Georgia,GA,13000,Hart County,13147
Georgia,GA,13000,Heard County,13149
Georgia,GA,13000,Henry County,13151
Georgia,GA,13000,Houston County,13153
Georgia,GA,13000,Irwin County,13155
Georgia,GA,13000,Jackson County,13157
Georgia,GA,13000,Jasper County,13159
Georgia,GA,13000,Jeff Davis County,13161
Georgia,GA,13000,Jefferson County,13163
Georgia,GA,13000,Jenkins County,13165
Georgia,GA,13000,Johnson County,13167
Georgia,GA,13000,Jones County,13169
Georgia,GA,13000,Lamar County,13171
Georgia,GA,13000,Lanier County,13173
Georgia,GA,13000,Laurens County,13175
Georgia,GA,13000,Lee County,13177
Georgia,GA,13000,Liberty County,13179
Georgia,GA,13000,Lincoln County,13181
Georgia,GA,13000,Long County,13183
Georgia,GA,13000,Lowndes County,13185
Georgia,GA,13000,Lumpkin County,13187
Georgia,GA,13000,McDuffie County,13189
Georgia,GA,13000,McIntosh County,13191
Georgia,GA,13000,Macon County,13193
Georgia,GA,13000,Madison County,13195
Georgia,GA,13000,Marion County,13197
Georgia,GA,13000,Meriwether County,13199
Georgia,GA,13000,Miller County,13201
Georgia,GA,13000,Mitchell County,13205
Georgia,GA,13000,Monroe County,13207
Georgia,GA,13000,Montgomery County,13209
Georgia,GA,13000,Morgan County,13211
Georgia,GA,13000,Murray County,13213
Georgia,GA,13000,Muscogee County,13215
Georgia,GA,13000,Newton County,13217
Georgia,GA,13000,Oconee County,13219
Georgia,GA,13000,Oglethorpe County,13221
Georgia,GA,13000,Paulding County,13223
Georgia,GA,13000,Peach County,13225
Georgia,GA,13000,Pickens County,13227
Georgia,GA,13000,Pierce County,13229
Georgia,GA,13000,Pike County,13231
Georgia,GA,13000,Polk County,13233
Georgia,GA,13000,Pulaski County,13235
Georgia,GA,13000,Putnam County,13237
Georgia,GA,13000,Quitman County,13239
Georgia,GA,13000,Rabun County,13241
Georgia,GA,13000,Randolph County,13243
Georgia,GA,13000,Richmond County,13245
Georgia,GA,13000,Rockdale County,13247
Georgia,GA,13000,Schley County,13249
Georgia,GA,13000,Screven County,13251
Georgia,GA,13000,Seminole County,13253
Georgia,GA,13000,Spalding County,13255
Georgia,GA,13000,Stephens County,13257
Georgia,GA,13000,Stewart County,13259
Georgia,GA,13000,Sumter County,13261
Georgia,GA,13000,Talbot County,13263
Georgia,GA,13000,Taliaferro County,13265
Georgia,GA,13000,Tattnall County,13267
Georgia,GA,13000,Taylor County,13269
Georgia,GA,13000,Telfair County,13271
Georgia,GA,13000,Terrell County,13273
Georgia,GA,13000,Thomas County,13275
Georgia,GA,13000,Tift County,13277
Georgia,GA,13000,Toombs County,13279
Georgia,GA,13000,Towns County,13281
Georgia,GA,13000,Treutlen County,13283
Georgia,GA,13000,Troup County,13285
Georgia,GA,13000,Turner County,13287
Georgia,GA,13000,Twiggs County,13289
Georgia,GA,13000,Union County,13291
Georgia,GA,13000,Upson County,13293
Georgia,GA,13000,Walker County,13295
Georgia,GA,13000,Walton County,13297
Georgia,GA,13000,Ware County,13299
Georgia,GA,13000,Warren County,13301
Georgia,GA,13000,Washington County,13303
Georgia,GA,13000,Wayne County,13305
Georgia,GA,13000,Webster County,13307
Georgia,GA,13000,Wheeler County,13309
Georgia,GA,13000,White County,13311
Georgia,GA,13000,Whitfield County,13313
Georgia,GA,13000,Wilcox County,13315
Georgia,GA,13000,Wilkes County,13317
Georgia,GA,13000,Wilkinson County,13319
Georgia,GA,13000,Worth County,13321
Hawaii,HI,15000,Hawaii County,15001
Hawaii,HI,15000,Honolulu County,15003
Hawaii,HI,15000,Kalawao County,15005
Hawaii,HI,15000,Kauai County,15007
Hawaii,HI,15000,Maui County,15009
Idaho,ID,16000,Ada County,16001
Idaho,ID,16000,Adams County,16003
Idaho,ID,16000,Bannock County,16005
Idaho,ID,16000,Bear Lake County,16007
Idaho,ID,16000,Benewah County,16009
Idaho,ID,16000,Bingham County,16011
Idaho,ID,16000,Blaine County,16013
Idaho,ID,16000,Boise County,16015
Idaho,ID,16000,Bonner County,16017
Idaho,ID,16000,Bonneville County,16019
Idaho,ID,16000,Boundary County,16021
Idaho,ID,16000,Butte County,16023
Idaho,ID,16000,Camas County,16025
Idaho,ID,16000,Canyon County,16027
Idaho,ID,16000,Caribou County,16029
Idaho,ID,16000,Cassia County,16031
Idaho,ID,16000,Clark County,16033
Idaho,ID,16000,Clearwater County,16035
Idaho,ID,16000,Custer County,16037
Idaho,ID,16000,Elmore County,16039
Idaho,ID,16000,Franklin County,16041
Idaho,ID,16000,Fremont County,16043
Idaho,ID,16000,Gem County,16045
Idaho,ID,16000,Gooding County,16047
Idaho,ID,16000,Idaho County,16049
Idaho,ID,16000,Jefferson County,16051
Idaho,ID,16000,Jerome County,16053
Idaho,ID,16000,Kootenai County,16055
Idaho,ID,16000,Latah County,16057
Idaho,ID,16000,Lemhi County,16059
Idaho,ID,16000,Lewis County,16061
Idaho,ID,16000,Lincoln County,16063
Idaho,ID,16000,Madison County,16065
Idaho,ID,16000,Minidoka County,16067
Idaho,ID,16000,Nez Perce County,16069
Idaho,ID,16000,Oneida County,16071
Idaho,ID,16000,Owyhee County,16073
Idaho,ID,16000,Payette County,16075
Idaho,ID,16000,Power County,16077
Idaho,ID,16000,Shoshone County,16079
Idaho,ID,16000,Teton County,16081
Idaho,ID,16000,Twin Falls County,16083
Idaho,ID,16000,Valley County,16085
Idaho,ID,16000,Washington County,16087
Illinois,IL,17000,Adams County,17001
Illinois,IL,17000,Alexander County,17003
Illinois,IL,17000,Bond County,17005
Illinois,IL,17000,Boone County,17007
Illinois,IL,17000,Brown County,17009
Illinois,IL,17000,Bureau County,17011
Illinois,IL,17000,Calhoun County,17013
Illinois,IL,17000,Carroll County,17015
Illinois,IL,17000,Cass County,17017
Illinois,IL,17000,Champaign County,17019
Illinois,IL,17000,Christian County,17021
Illinois,IL,17000,Clark County,17023
Illinois,IL,17000,Clay County,17025
Illinois,IL,17000,Clinton County,17027
Illinois,IL,17000,Coles County,17029
Illinois,IL,17000,Cook County,17031
Illinois,IL,17000,Crawford County,17033
Illinois,IL,17000,Cumberland County,17035
Illinois,IL,17000,DeKalb County,17037
Illinois,IL,17000,De Witt County,17039
Illinois,IL,17000,Douglas County,17041
Illinois,IL,17000,DuPage County,17043
Illinois,IL,17000,Edgar County,17045
Illinois,IL,17000,Edwards County,17047
Illinois,IL,17000,Effingham County,17049
Illinois,IL,17000,Fayette County,17051
Illinois,IL,17000,Ford County,17053
Illinois,IL,17000,Franklin County,17055
Illinois,IL,17000,Fulton County,17057
Illinois,IL,17000,Gallatin County,17059
Illinois,IL,17000,Greene County,17061
Illinois,IL,17000,Grundy County,17063
Illinois,IL,17000,Hamilton County,17065
Illinois,IL,17000,Hancock County,17067
Illinois,IL,17000,Hardin County,17069
Illinois,IL,17000,Henderson County,17071
Illinois,IL,17000,Henry County,17073
Illinois,IL,17000,Iroquois County,17075
Illinois,IL,17000,Jackson County,17077
Illinois,IL,17000,Jasper County,17079
Illinois,IL,17000,Jefferson County,17081
Illinois,IL,17000,Jersey County,17083
Illinois,IL,17000,Jo Daviess County,17085
Illinois,IL,17000,Johnson County,17087
Illinois,IL,17000,Kane County,17089
Illinois,IL,17000,Kankakee County,17091
Illinois,IL,17000,Kendall County,17093
Illinois,IL,17000,Knox County,17095
Illinois,IL,17000,Lake County,17097
Illinois,IL,17000,LaSalle County,17099
Illinois,IL,17000,Lawrence County,17101
Illinois,IL,17000,Lee County,17103
Illinois,IL,17000,Livingston County,17105
Illinois,IL,17000,Logan County,17107
Illinois,IL,17000,McDonough County,17109
Illinois,IL,17000,McHenry County,17111
Illinois,IL,17000,McLean County,17113
Illinois,IL,17000,Macon County,17115
Illinois,IL,17000,Macoupin County,17117
Illinois,IL,17000,Madison County,17119
Illinois,IL,17000,Marion County,17121
Illinois,IL,17000,Marshall County,17123
Illinois,IL,17000,Mason County,17125
Illinois,IL,17000,Massac County,17127
Illinois,IL,17000,Menard County,17129
Illinois,IL,17000,Mercer County,17131
Illinois,IL,17000,Monroe County,17133
Illinois,IL,17000,Montgomery County,17135
Illinois,IL,17000,Morgan County,17137
Illinois,IL,17000,Moultrie County,17139
Illinois,IL,17000,Ogle County,17141
Illinois,IL,17000,Peoria County,17143
Illinois,IL,17000,Perry County,17145
Illinois,IL,17000,Piatt County,17147
Illinois,IL,17000,Pike County,17149
Illinois,IL,17000,Pope County,17151
Illinois,IL,17000,Pulaski County,17153
Illinois,IL,17000,Putnam County,17155
Illinois,IL,17000,Randolph County,17157
Illinois,IL,17000,Richland County,17159
Illinois,IL,17000,Rock Island County,17161
Illinois,IL,17000,St. Clair County,17163
Illinois,IL,17000,Saline County,17165
Illinois,IL,17000,Sangamon County,17167
Illinois,IL,17000,Schuyler County,17169
Illinois,IL,17000,Scott County,17171
Illinois,IL,17000,Shelby County,17173
Illinois,IL,17000,Stark County,17175
Illinois,IL,17000,Stephenson County,17177
Illinois,IL,17000,Tazewell County,17179
Illinois,IL,17000,Union County,17181
Illinois,IL,17000,Vermilion County,17183
Illinois,IL,17000,Wabash County,17185
